name,code_incl_expiration,ticker,shares,NACE
MT Hoejgaard Hld,MTHH.CO,MTHH.CO,7787069.0,43
Microsoft Develo,NAVI.CO^H02 (expired),NAVI.CO^H02,35890290.0,58
Nordea Bnk,NDADK.CO,NDADK.CO,3490888047.0,64
Vestas India,NEG.CO^E04 (expired),NEG.CO^E04,26711027.0,64
Nexel,NESA.CO^F06 (expired),NESA.CO^F06,1350000.0,35
Netcompany Group,NETCG.CO,NETCG.CO,50000000.0,62
ACEA Finance,NETCGH.CO^J17 (expired),NETCGH.CO^J17,36691676.0,64
Netop Solutions,NETOP.CO^I13 (expired),NETOP.CO^I13,6439204.0,64
Nets,NETS.CO^B18 (expired),NETS.CO^B18,200411094.0,66
Newcap Holding,NEWCAP.CO,NEWCAP.CO,125997102.0,66
NKT,NKT.CO,NKT.CO,53720045.0,46
Nilfisk Holding,NLFSK.CO,NLFSK.CO,27126369.0,28
NNIT,NNIT.CO,NNIT.CO,25000000.0,62
Nordic Blue,NOBIN.CO^E17 (expired),NOBIN.CO^E17,706908.0,93
Noble Corp,NOBLE.CO^L24 (expired),NOBLE.CO^L24,159191313.0,09
Norhaven,NOERb.CO^D06 (expired),NOERb.CO^D06,234000.0,18
Nordic Shipholdi,NORDIC.CO^L23 (expired),NORDIC.CO^L23,406158403.0,09
Nordjyske,NORDJB.CO^F18 (expired),NORDJB.CO^F18,18364515.0,64
North Media,NORTHM.CO,NORTHM.CO,20055000.0,58
Novo Nordisk,NOVOb.CO,NOVOb.CO,3390128000.0,21
Nowaco,NOWA.CO^L05 (expired),NOWA.CO^L05,940000.0,46
Nordfyns Bank,NRDF.CO,NRDF.CO,1650000.0,64
Norresundby,NRSU.CO^D15 (expired),NRSU.CO^D15,4600000.0,64
Nordisk Solar,NSCb.CO^D06 (expired),NSCb.CO^D06,3753000.0,46
Nordisk Solar,NSCo.CO^D06 (expired),NSCo.CO^D06,3475570.0,46
Novozymes,NSISb.CO,NSISb.CO,414555046.0,20
NTG Nord Tran Gr,NTGNT.CO,NTGNT.CO,22649406.0,49
